City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
77,fort st. john,56.2499,-120.8529,55.29,44,75,3.44,CA,1687237933
78,karungdong,5.8844,121.263,78.94,86,98,10.18,PH,1687237947
79,lompoc,34.6391,-120.4579,56.93,77,0,23.0,US,1687237724
80,lihue,21.9789,-159.3672,79.84,76,20,10.36,US,1687237785
81,odienne,9.51,-7.5692,71.01,94,100,1.05,CI,1687237948
82,chui,-33.6971,-53.4616,51.82,94,100,3.58,UY,1687237949
83,sitangkai,4.6628,119.3928,78.13,87,100,10.74,PH,1687237949
84,dzhalagash,45.0833,64.6667,82.31,25,50,13.62,KZ,1687237950
85,bardai,11.65,7.2333,75.02,81,100,11.5,NG,1687237950
86,oriximina,-1.7656,-55.8661,74.84,85,13,1.45,BR,1687237950
87,akhmet'a,42.0311,45.2075,66.72,95,100,1.45,GE,1687237951
88,janoshalma,46.2986,19.3258,70.97,76,12,1.72,HU,1687237951
89,weatherford,32.7593,-97.7972,86.5,69,0,4.29,US,1687237951
90,chonchi,-42.6128,-73.8092,36.61,89,2,2.48,CL,1687237952
91,kikwit,-5.041,18.8162,68.43,75,40,0.65,CD,1687237952
92,traverse city,44.7631,-85.6206,64.11,80,0,0.0,US,1687237859
93,arcachon,44.5875,-1.0519,66.52,94,100,3.44,FR,1687237953
94,vila velha,-20.3297,-40.2925,68.95,81,20,4.61,BR,1687237953
95,sisimiut,66.9395,-53.6735,44.83,53,100,6.4,GL,1687237954
96,isafjordur,66.0755,-23.124,38.55,93,100,10.16,IS,1687237954
97,xinyuan,37.3,99.0,60.51,41,100,8.66,CN,1687237955
98,prince rupert,54.3161,-130.3201,55.09,93,100,8.05,CA,1687237955
99,gadzhiyevo,69.2551,33.3362,45.86,63,2,4.25,RU,1687237956
100,bredasdorp,-34.5322,20.0403,47.7,79,64,9.24,ZA,1687237956
101,port elizabeth,-33.918,25.5701,53.1,84,94,15.01,ZA,1687237769
102,atafu village,-8.5421,-172.5159,82.78,68,5,11.07,TK,1687237957
103,puerto deseado,-47.7503,-65.8938,40.53,64,5,23.78,AR,1687237957
104,bethel,41.3712,-73.414,63.64,84,100,3.44,US,1687237887
105,la condamine,43.7344,7.4202,75.42,64,0,4.61,MC,1687237958
106,baykal'sk,51.5058,104.1469,59.05,67,20,2.04,RU,1687237959
107,san patricio,28.017,-97.5169,84.09,85,31,14.03,US,1687237959
108,tazovsky,67.4667,78.7,38.62,83,100,6.53,RU,1687237959
109,baharly,38.4362,57.4316,86.7,34,0,4.41,TM,1687237960
110,bridgewater,44.3835,-64.5155,51.48,87,69,12.66,CA,1687237960
111,ushuaia,-54.8,-68.3,38.86,60,0,3.44,AR,1687237961
112,balqash,46.8481,74.995,81.19,32,0,24.61,KZ,1687237961
113,katsuura,35.1333,140.3,71.62,68,99,10.4,JP,1687237961
114,udachny,66.4167,112.4,59.45,30,100,8.28,RU,1687237962
115,tarawa,1.419,172.984,84.29,84,75,4.61,KI,1687237963
116,mount pearl,47.5166,-52.7813,42.85,97,100,9.22,CA,1687237964
117,celestun,20.8667,-90.4,86.38,57,0,14.7,MX,1687237964
118,tolanaro,-25.0319,46.9987,65.48,71,0,5.79,MG,1687237965
119,tsiombe,-25.3,45.4833,66.22,64,0,6.51,MG,1687237965
120,port-vila,-17.7338,168.3219,75.54,66,98,11.63,VU,1687237966
121,klaksvik,62.2266,-6.589,54.52,98,100,27.6,FO,1687237966
122,turuvekere,13.1642,76.6667,74.03,77,100,5.08,IN,1687237966
123,sri dungargarh,28.0833,74.0167,96.82,41,1,13.65,IN,1687237967
124,birjand,32.8663,59.2211,93.34,12,67,10.58,IR,1687237967
125,es castell,39.8795,4.2854,74.08,100,20,6.91,ES,1687237967
126,quarai,-30.3875,-56.4514,51.93,86,78,6.38,BR,1687237968
127,westport,41.1415,-73.3579,65.08,87,75,6.91,US,1687237968
128,akureyri,65.6835,-18.0878,42.73,93,100,8.05,IS,1687237969
129,iguape,-24.7081,-47.5553,57.52,90,62,3.15,BR,1687237969
130,mpika,-11.8343,31.4529,52.45,65,1,3.22,ZM,1687237969
131,pangkalanbuun,-2.6833,111.6167,78.85,84,100,0.38,ID,1687237970
132,mundri,-6.9558,111.71,89.1,53,38,5.37,ID,1687237970
133,belem do brejo do cruz,-6.1886,-37.5358,73.99,83,48,9.31,BR,1687237880
134,mitsamiouli,-11.3847,43.2844,78.24,67,18,3.96,KM,1687237971
135,saipan,15.1355,145.701,90.3,100,20,13.8,MP,1687237971
136,mariehamn,60.0973,19.9348,67.86,60,0,3.44,AX,1687237972
137,nuuk,64.1835,-51.7216,38.01,87,100,5.75,GL,1687237972
138,tvoroyri,61.5556,-6.8111,51.93,96,100,28.9,FO,1687237972
139,al bayda',32.7627,21.7551,63.77,69,0,0.67,LY,1687237973
140,fuglafjordur,62.244,-6.814,54.07,98,100,26.13,FO,1687237974
141,luderitz,-26.6481,15.1594,52.83,80,12,15.86,NA,1687237974
142,sitka,57.0531,-135.33,60.69,67,0,11.5,US,1687238033
143,novyy urgal,51.0736,132.5642,81.54,35,100,9.78,RU,1687238033
144,brokopondo,4.75,-55.1667,75.07,91,42,3.47,SR,1687238034
145,airuk,7.2772,168.8203,81.55,73,100,3.06,MH,1687238034
146,okha,53.5739,142.9478,53.91,75,23,9.13,RU,1687238034
147,boca do acre,-8.7522,-67.3978,69.76,83,0,0.51,BR,1687238035
148,khovd,48.0056,91.6419,80.74,18,76,3.31,MN,1687238035
149,pedernales,18.0384,-71.744,80.58,70,99,5.17,DO,1687238036
150,alo,7.4178,6.7371,74.35,98,100,3.47,NG,1687238036
151,jijel,36.8205,5.7667,71.55,94,75,2.3,DZ,1687238037
152,magadan,59.5667,150.8,74.53,77,68,9.42,RU,1687238037
153,santa cruz,-17.8,-63.1667,62.06,88,0,9.22,BO,1687237993
154,greymouth,-42.4667,171.2,54.07,78,30,2.04,NZ,1687238038
155,onega,63.9061,38.1404,46.71,49,5,9.17,RU,1687238038
156,mount isa,-20.7333,139.5,76.77,15,32,6.91,AU,1687238038
157,bordj el kiffan,36.7487,3.1925,71.74,88,75,4.61,DZ,1687238039
158,eyl,7.9803,49.8164,82.44,60,58,23.29,SO,1687238039
159,tazacorte,28.629,-17.9293,68.97,75,75,5.01,ES,1687238040
160,hadibu,12.65,54.0333,82.51,74,50,20.51,YE,1687238040
161,coahuayana de hidalgo,18.7,-103.6583,79.32,78,3,1.92,MX,1687238040
162,bandarbeyla,9.4942,50.8122,82.42,60,29,25.59,SO,1687238041
163,west island,-12.1568,96.8225,80.58,83,75,11.5,CC,1687238041
164,yen bai,21.7,104.8667,89.17,66,100,2.55,VN,1687238042
165,proletariy,58.4342,31.7046,66.76,43,51,4.83,RU,1687238042
166,ola,59.5833,151.2833,75.15,79,36,10.92,RU,1687238042
